dataset,station,component,method,peak_time,score,floor_detect,floor_signif,significant
ingv,ECPN,dir,max,2022-11-18 19:57:17,0.7057,0.66,0.684,True
ingv,ECPN,dir,max,2022-12-03 13:28:25,0.6688,0.66,0.684,False
ingv,ECPN,dir,max,2023-01-20 06:45:01,0.6677,0.66,0.684,False
ingv,ECPN,dir,max,2023-01-21 12:18:44,0.665,0.66,0.684,False
ingv,ECPN,dir,stack,2022-11-16 17:03:36,0.4064,0.385,0.397,True
ingv,ECPN,dir,stack,2022-11-17 02:43:07,0.3908,0.385,0.397,False
ingv,ECPN,dir,stack,2022-11-18 19:56:33,0.3865,0.385,0.397,False
ingv,ECPN,dir,stack,2022-11-19 18:29:43,0.3897,0.385,0.397,False
ingv,ECPN,dir,stack,2022-11-21 02:44:12,0.419,0.385,0.397,True
ingv,ECPN,dir,stack,2022-11-23 08:57:23,0.3944,0.385,0.397,False
ingv,ECPN,dir,stack,2022-11-26 19:48:46,0.3873,0.385,0.397,False
ingv,ECPN,dir,stack,2022-11-27 12:16:28,0.3848,0.385,0.397,False
ingv,ECPN,dir,stack,2022-11-28 07:32:55,0.3874,0.385,0.397,False
ingv,ECPN,dir,stack,2022-12-03 13:32:17,0.3851,0.385,0.397,False
ingv,ECPN,dir,stack,2022-12-09 10:31:51,0.3896,0.385,0.397,False
ingv,ECPN,dir,stack,2022-12-11 12:32:53,0.3853,0.385,0.397,False
ingv,ECPN,dir,stack,2022-12-13 02:28:22,0.405,0.385,0.397,True
ingv,ECPN,dir,stack,2022-12-21 02:21:16,0.4133,0.385,0.397,True
ingv,ECPN,dir,stack,2022-12-27 11:49:39,0.3995,0.385,0.397,True
ingv,ECPN,dir,stack,2023-01-10 13:12:04,0.4107,0.385,0.397,True
ingv,ECPN,dir,stack,2023-01-14 16:19:13,0.3865,0.385,0.397,False
ingv,ECPN,dir,stack,2023-01-17 14:25:24,0.3879,0.385,0.397,False
ingv,ECPN,dir,stack,2023-02-02 19:43:15,0.4056,0.385,0.397,True
ingv,ECPN,dir,stack,2023-02-04 00:03:32,0.4131,0.385,0.397,True
ingv,ECPN,dir,stack,2023-02-04 15:53:38,0.402,0.385,0.397,True
ingv,ECPN,dir,stack,2023-02-04 19:39:02,0.3885,0.385,0.397,False
ingv,ECPN,dir,stack,2023-02-08 10:05:59,0.401,0.385,0.397,True
ingv,ECPN,dir,stack,2023-02-09 01:24:15,0.3857,0.385,0.397,False
ingv,ECPN,dir,stack,2023-02-09 04:48:10,0.3873,0.385,0.397,False
ingv,ECPN,dir2,max,2022-11-15 18:34:58,0.6188,0.592,0.614,True
ingv,ECPN,dir2,max,2022-11-20 18:04:18,0.622,0.592,0.614,True
ingv,ECPN,dir2,max,2022-11-24 07:01:50,0.6061,0.592,0.614,False
ingv,ECPN,dir2,max,2022-11-26 19:54:04,0.6701,0.592,0.614,True
